Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
147,18.5657558441,27.6039543152,1.41931772232,0,0,0,31,REFLECT
148,13.562122345,-22.9617996216,33.0928955078,0,0,0,-1,CREATE
148,13.5511083603,26.0968608856,-0.17617239058,0,0,0,38,REFLECT
149,26.4163475037,-25.6449737549,29.1470451355,0,0,0,-1,CREATE
149,26.4979934692,16.1455307007,0.604816317558,0,0,0,59,ABSORB
150,-0.0954870581627,-1.23756766319,64.9645004272,0,0,0,-1,CREATE
150,-0.0933683738112,-9.32516286412e-11,64.1162261963,0,0,0,127,ABSORB
151,-28.2140960693,-27.2344093323,26.8618278503,0,0,0,-1,CREATE
151,-28.1992874146,12.8266468048,-0.517963111401,0,0,0,117,REFLECT
152,-13.7530965805,-21.8523788452,34.7428398132,0,0,0,-1,CREATE
152,-13.8036422729,27.7938098907,0.819440543652,0,0,0,85,ABSORB
153,3.11807012558,-5.26860332489,59.0499992371,0,0,0,-1,CREATE
153,3.11336350441,4.48160562883e-07,55.445224762,0,0,0,127,ABSORB
154,-3.04124617577,-21.4001655579,35.3970603943,0,0,0,-1,CREATE
154,-3.04557299614,30.6183853149,0.236143186688,0,0,0,12,ABSORB
155,4.18925476074,-2.57999205589,62.9921455383,0,0,0,-1,CREATE
155,4.17849206924,-1.62437501672e-07,61.2402229309,0,0,0,127,ABSORB
156,-27.142911911,-25.8898944855,28.8327560425,0,0,0,-1,CREATE
156,-27.0422687531,15.7774438858,0.506811320782,0,0,0,108,REFLECT
157,16.2400875092,-22.2887058258,34.0777893066,0,0,0,-1,CREATE
157,14.0391378403,27.7899742126,0.767351865768,0,0,0,33,REFLECT
158,-23.9293556213,-25.9096431732,28.8011016846,0,0,0,-1,CREATE
158,-23.7569694519,16.0845413208,0.0400607660413,0,0,0,116,REFLECT
159,-2.2378578186,-2.60350179672,62.963054657,0,0,0,-1,CREATE
159,-2.2404923439,-1.73259564917e-07,61.1970024109,0,0,0,127,ABSORB
160,24.2739753723,-24.994764328,30.1024227142,0,0,0,-1,CREATE
160,24.0573444366,18.0639839172,0.799243688583,0,0,0,57,ABSORB
161,-1.43446755409,-22.7646369934,33.394618988,0,0,0,-1,CREATE
161,-1.48019969463,27.8917884827,-1.22652757168,0,0,0,23,ABSORB
162,27.487531662,-26.3376064301,28.1303539276,0,0,0,-1,CREATE
162,27.168384552,14.741686821,0.196220725775,0,0,0,65,REFLECT
163,17.8468647003,-23.653175354,32.0753479004,0,0,0,-1,CREATE
163,17.9531726837,24.0397834778,-0.518512308598,0,0,0,46,REFLECT
164,3.38586616516,-20.0745620728,37.3357696533,0,0,0,-1,CREATE
164,3.16516685486,32.3514518738,1.405823946,0,0,0,6,REFLECT
165,2.04688572884,-1.92978131771,63.9475212097,0,0,0,-1,CREATE
165,2.04565501213,8.94037128774e-08,62.6428260803,0,0,0,127,ABSORB
166,-26.0717258453,-26.5825271606,27.8160648346,0,0,0,-1,CREATE
166,-25.8987617493,14.6054391861,-0.181374564767,0,0,0,114,REFLECT
167,-4.38022851944,-3.27638626099,61.9780158997,0,0,0,-1,CREATE
167,-4.37763547897,2.18102513827e-08,59.7646560669,0,0,0,127,ABSORB
168,1.24349737167,-22.0915431976,34.3795127869,0,0,0,-1,CREATE
168,1.16706287861,28.8939094543,-0.580591619015,0,0,0,20,REFLECT
